144,338,43.091,0.77661,199,192
144,338,43.091,0.77661,282,61
144,338,43.091,0.77661,221,152
144,338,43.091,0.77661,505,19
144,338,43.091,0.77661,226,150
144,338,43.091,0.77661,592,25
144,338,43.091,0.77661,118,245
144,338,43.091,0.77661,592,1
144,338,43.091,0.77661,19,276
144,338,43.091,0.77661,402,124
144,338,43.091,0.77661,281,144
144,338,43.091,0.77661,239,179
144,338,43.091,0.77661,548,39
144,338,43.091,0.77661,9,288
144,338,43.091,0.77661,287,99
144,338,43.091,0.77661,335,73
144,338,43.091,0.77661,319,59
144,338,43.091,0.77661,227,185
144,338,43.091,0.77661,23,239
144,338,43.091,0.77661,333,125
144,338,43.091,0.77661,33,221
144,338,43.091,0.77661,452,62
144,338,43.091,0.77661,378,127
144,338,43.091,0.77661,293,88
144,338,43.091,0.77661,25,267
144,338,43.091,0.77661,322,85
